movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,"Dec 21, 1937",Musical,G,184925485,5228953251
Pinocchio,"Feb 9, 1940",Adventure,G,84300000,2188229052
Fantasia,"Nov 13, 1940",Musical,G,83320000,2187090808
101 Dalmatians,"Jan 25, 1961",Comedy,G,153000000,1362870985
Lady and the Tramp,"Jun 22, 1955",Drama,G,93600000,1236035515
Song of the South,"Nov 12, 1946",Adventure,G,65000000,1078510579
Star Wars Ep. VII: The Force Awakens,"Dec 18, 2015",Adventure,PG-13,936662225,936662225
Cinderella,"Feb 15, 1950",Drama,G,85000000,920608730
The Jungle Book,"Oct 18, 1967",Musical,Not Rated,141843000,789612346
The Lion King,"Jun 15, 1994",Adventure,G,422780140,761640898
The Avengers,"May 4, 2012",Action,PG-13,623279547,660081224
Pirates of the Caribbean: Dead Man’…,"Jul 7, 2006",Adventure,PG-13,423315812,544817142
Rogue One: A Star Wars Story,"Dec 16, 2016",Adventure,PG-13,529483936,529483936
Finding Nemo,"May 30, 2003",Adventure,G,380529370,518148559
Finding Dory,"Jun 17, 2016",Adventure,PG,486295561,486295561
The Sixth Sense,"Aug 6, 1999",Thriller,PG-13,293506292,485424724
Avengers: Age of Ultron,"May 1, 2015",Action,PG-13,459005868,459005868
Toy Story 3,"Jun 18, 2010",Adventure,G,415004880,443408255
Aladdin,"Nov 11, 1992",Comedy,G,217350219,441969178
Pirates of the Caribbean: The Curse o…,"Jul 9, 2003",Adventure,PG-13,305411224,426967926
Iron Man 3,"May 3, 2013",Action,PG-13,408992272,424084233
"Monsters, Inc.","Nov 2, 2001",Adventure,G,289423425,416073179
Frozen,"Nov 22, 2013",Adventure,PG,400738009,414997174
Captain America: Civil War,"May 6, 2016",Action,PG-13,408084349,408084349
Toy Story 2,"Nov 19, 1999",Adventure,G,245852179,404450426
"The Chronicles of Narnia: The Lion, t…","Dec 9, 2005",Adventure,PG,291710957,381557539
Pirates of the Caribbean: At World’…,"May 24, 2007",Adventure,PG-13,309420425,379129960
Toy Story,"Nov 22, 1995",Adventure,G,191796233,370409631
The Jungle Book,"Apr 15, 2016",Adventure,PG,364001123,364001123
Beauty and the Beast,"Nov 13, 1991",Musical,G,218951625,363017667
Armageddon,"Jul 1, 1998",Adventure,PG-13,201578182,362324957
Alice in Wonderland,"Mar 5, 2010",Adventure,PG,334191110,357063499
Inside Out,"Jun 19, 2015",Adventure,PG,356461711,356461711
Pretty Woman,"Mar 23, 1990",Comedy,R,178406268,356389765
The Incredibles,"Nov 5, 2004",Adventure,PG,261441092,354488708
3 Men and a Baby,"Nov 25, 1987",Comedy,PG,167780960,353334607
Guardians of the Galaxy,"Aug 1, 2014",Adventure,PG-13,333172112,343771168
Zootopia,"Mar 4, 2016",Adventure,PG,341268248,341268248
